Serving HTTP on 127.0.0.1 port 8768 (http://127.0.0.1:8768/) ...
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/_sphinx_javascript_frameworks_compat.js?v=2cd50e6c HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/sphinx_highlight.js?v=dc90522c HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/documentation_options.js?v=2aa7e512 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/doctools.js?v=9bcbadda HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/typed.min.js?v=edb71f0b HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/theme_overrides.css?v=e4e1d026 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/terminal.css?v=d691274a HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/design-tabs.js?v=f930bc37 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/css/fonts/lato-normal.woff2?bd03a2cc277bbbc338d464e679fe9942 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/css/fonts/lato-bold.woff2?cccb897485813c7c256901dbca54ecf2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/css/fonts/fontawesome-webfont.woff2?af7ae505a9eed503f8b8e6982036873e HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:33:59] "GET /_static/css/fonts/Roboto-Slab-Bold.woff2?9984f4a9bda09be08e83f2506954adbe HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /torch_performance.html HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/pygments.css?v=03e43079 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/css/theme.css?v=9edc463e HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/plot_directive.css?v=7f9a90b1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/graphviz.css?v=4ae1632d HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/sphinx-design.min.css?v=95c83b7e HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/jquery.js?v=5d32c60e HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/_sphinx_javascript_frameworks_compat.js?v=2cd50e6c HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/documentation_options.js?v=2aa7e512 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/sphinx_highlight.js?v=dc90522c HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/doctools.js?v=9bcbadda HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/typed.min.js?v=edb71f0b HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/terminal.css?v=d691274a HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/theme_overrides.css?v=e4e1d026 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/design-tabs.js?v=f930bc37 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/js/theme.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/css/fonts/lato-bold.woff2?cccb897485813c7c256901dbca54ecf2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/css/fonts/lato-normal.woff2?bd03a2cc277bbbc338d464e679fe9942 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/css/fonts/fontawesome-webfont.woff2?af7ae505a9eed503f8b8e6982036873e HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 16:34:13] "GET /_static/css/fonts/Roboto-Slab-Bold.woff2?9984f4a9bda09be08e83f2506954adbe HTTP/1.1" 200 -
